Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
VIA;CONCA DEL NAVIGLIO;20,00;5180.0;1,00;105,00;0;3 STELLE;idea hotel milano corso genova;1,00;1;199,00;0;Hotel
VIA;COPERNICO NICOLO';18,00;1204.0;2,00;53,00;"4;12;3";3 STELLE;hotel club;6,00;"T;1;2;3;4;5";73,00;"5;16";Hotel
VIA;CORNALIA EMILIO;7,00;1182.0;9,00;26,00;"3;9";2 STELLE;class;3,00;"1;2;3";52,00;"6;18";Residence
VIA;CORRENTI CESARE;13,00;555.0;1,00;43,00;43;4 STELLE;hotel regina;1,00;1;59,00;59;Hotel
VIA;CORTINA D'AMPEZZO;17,00;4259.0;5,00;13,00;0;2 STELLE;hotel alessander;1,00;1;23,00;0;Hotel
VIA;CUSANI;13,00;719.0;1,00;92,00;0;4 STELLE;hotel bonaparte;1,00;1;234,00;0;Hotel
VIA;CUSTODI PIETRO;2,00;5199.0;5,00;31,00;31;1 STELLA;"hotel ""la vignetta""";1,00;1;56,00;56;Hotel
VIA;DAL POZZO TOSCANELLI PAOLO;4,00;2516.0;2,00;16,00;"6;6;4";1 STELLA;trento;3,00;"1;2;3";23,00;"8;9;6";Hotel
VIA;DANDOLO ENRICO;2,00;3028.0;1,00;24,00;24;3 STELLE;albergo pavone;1,00;1;50,00;50;Hotel
VIA;DE ALBERTIS SEBASTIANO;7,00;3138.0;3,00;11,00;0;2 STELLE;hotel de albertis;1,00;1;18,00;0;Hotel
VIA;DE CRISTOFORIS CARLO;6,00;1120.0;9,00;125,00;"7;19;76;8";4 STELLE;residence atahotel the big;10,00;"1;2;3;4;5;6;7;8;9;0";245,00;"16;36";Residence
VIA;DEI BOSSI;5,00;115.0;1,00;30,00;"9;9;7;5";3 STELLE;hotel star;4,00;"1;2;3;4";48,00;"14;14;13;7";Hotel
VIA;DEI FONTANILI;26,00;4224.0;5,00;57,00;57;4 STELLE;mihotel;1,00;1;75,00;75;Hotel
VIA;DEI MISSAGLIA;14,00;5340.0;5,00;19,00;19;3 STELLE;hotel giardino;1,00;1;24,00;24;Hotel
VIA;DELLA GIUSTIZIA;10,00;1410.0;2,00;145,00;0;4 STELLE;idea hotel milano bicocca;1,00;1;290,00;0;Hotel
VIA;DELLE FORZE ARMATE;8,00;6643.0;7,00;12,00;0;1 STELLA;hotel edy;1,00;1;25,00;0;Hotel
VIA;DELL' ORSO;7,00;123.0;1,00;62,00;62;4 STELLE;hotel milano scala;1,00;1;115,00;115;Hotel
VIA;DEL MARE;93,00;5318.0;5,00;87,00;0;3 STELLE;hotel alga;1,00;1;159,00;0;Hotel
VIA;DESENZANO;12,00;6610.0;7,00;60,00;"12;9;6";3 STELLE;residence desenzano;6,00;"R;1;2;3;4;S";115,00;"20;24;23;12";Residence
VIA;DI TOCQUEVILLE ALESSIO;7,00;1703.0;9,00;109,00;0;4 STELLE;una hotel tocq;1,00;1;272,00;0;Hotel
VIA;DOMENICHINO;41,00;6383.0;7,00;64,00;"21;11;10;8";3 STELLE;hotel domenichino;5,00;"1;2;3;4;5;6";110,00;"29;16;15;12";Hotel
VIA;DOMODOSSOLA;16,00;7152.0;8,00;60,00;"10;10;10;10;10;10";4 STELLE;hotel admiral;6,00;"1;2;3;4;5;6";102,00;"17;17;17;17;17;17";Hotel
VIA;DONATELLO;10,00;2214.0;3,00;10,00;"4;6";4 STELLE;residence donatello;2,00;"T;1";20,00;"12;16";Residence
VIA;EDOLO;18,00;1217.0;2,00;17,00;17;1 STELLA;BIO CITY HOTEL;1,00;1;32,00;32;Hotel
VIA;FARINI CARLO;1,00;not specified;8,00;31,00;"7;8;8;8";3 STELLE;hotel san guido;4,00;"1;2;3;4";47,00;"11;12;12;12";Hotel
VIA;FATEBENEFRATELLI;21,00;144.0;1,00;121,00;"35;0;21;15";4 STELLE;hotel cavour;5,00;"1;2;3;4;5";224,00;"55;0;39;38;36;24";Hotel
